timestamp,stock,best_bid,best_ask,bid_size,ask_size,mid_price,signal,future_return_1s,future_return_3s,future_return_5s
2024-01-01 10:27:54,AMZN,223.72,223.84,100.0,100.0,223.78,-0.00010261078769787288,0.0,0.0,0.0
2024-01-01 10:27:55,AMZN,223.72,223.84,100.0,100.0,223.78,-0.00014729154351774318,0.0,0.0,0.0
2024-01-01 10:27:56,AMZN,223.72,223.84,100.0,100.0,223.78,-0.00015597541583008598,0.0,0.0,0.0
2024-01-01 10:27:57,AMZN,223.72,223.84,100.0,100.0,223.78,-0.00015597541583008598,0.0,0.0,0.0
2024-01-01 10:27:58,AMZN,223.72,223.84,100.0,100.0,223.78,3.599868935251956e-05,0.0,0.0,0.0
2024-01-01 10:27:59,AMZN,223.72,223.84,100.0,100.0,223.78,-8.686059742727773e-06,0.0,0.0,0.0
2024-01-01 10:28:00,AMZN,223.72,223.84,100.0,100.0,223.78,-2.605817922814631e-05,0.0,0.0,0.0
2024-01-01 10:28:01,AMZN,223.72,223.84,100.0,100.0,223.78,-1.737257218303867e-05,0.0,0.0,-2.2343372955561053e-05
2024-01-01 10:28:02,AMZN,223.72,223.84,100.0,100.0,223.78,-4.922228785190589e-05,0.0,0.0,-2.2343372955561053e-05
2024-01-01 10:28:03,AMZN,223.72,223.84,100.0,100.0,223.78,-6.369943133780846e-05,0.0,-2.2343372955561053e-05,-2.2343372955561053e-05
2024-01-01 10:28:04,AMZN,223.72,223.84,100.0,100.0,223.78,-5.790857394346224e-05,0.0,-2.2343372955561053e-05,-4.4686745911249114e-05
2024-01-01 10:28:05,AMZN,223.72,223.84,100.0,100.0,223.78,-4.053811451439534e-05,-2.2343372955561053e-05,-2.2343372955561053e-05,-4.4686745911249114e-05
2024-01-01 10:28:06,AMZN,223.72,223.83,100.0,10.0,223.775,-2.3985900775162307e-05,0.0,-2.2343872193157744e-05,-4.468774438618848e-05
2024-01-01 10:28:07,AMZN,223.72,223.83,100.0,10.0,223.775,7.864091359592132e-06,0.0,-2.2343872193157744e-05,-4.468774438618848e-05
2024-01-01 10:28:08,AMZN,223.72,223.83,100.0,110.0,223.775,1.3655426612357857e-05,-2.2343872193157744e-05,-4.468774438618848e-05,-4.468774438618848e-05
2024-01-01 10:28:09,AMZN,223.72,223.82,100.0,10.0,223.76999999999998,3.02070869362403e-05,0.0,-2.234437145281071e-05,8.937748581149687e-05
2024-01-01 10:28:10,AMZN,223.72,223.82,100.0,10.0,223.76999999999998,3.02070869362403e-05,-2.234437145281071e-05,-2.234437145281071e-05,8.937748581149687e-05
2024-01-01 10:28:11,AMZN,223.72,223.81,100.0,10.0,223.765,3.599979804291831e-05,0.0,0.00011172435367476642,0.00011172435367476642
2024-01-01 10:28:12,AMZN,223.72,223.81,100.0,10.0,223.765,5.0479708614973674e-05,0.0,0.00011172435367476642,0.00011172435367476642
2024-01-01 10:28:13,AMZN,223.72,223.81,100.0,10.0,223.765,5.916803237008642e-05,0.00011172435367476642,0.00011172435367476642,-2.2344870734902476e-05
2024-01-01 10:28:14,AMZN,223.75,223.83,100.0,110.0,223.79000000000002,-7.489719782756883e-05,0.0,0.0,-0.00013405424728553356
2024-01-01 10:28:15,AMZN,223.75,223.83,400.0,100.0,223.79000000000002,-7.489719782756883e-05,0.0,-0.00013405424728553356,-0.00013405424728553356
2024-01-01 10:28:16,AMZN,223.75,223.83,400.0,100.0,223.79000000000002,-9.724406569085649e-05,0.0,-0.00013405424728553356,-0.00015639662183308014
2024-01-01 10:28:17,AMZN,223.78,223.8,100.0,100.0,223.79000000000002,-0.00011172435367479139,-0.00013405424728553356,-0.00013405424728553356,-0.00015639662183308014
2024-01-01 10:28:18,AMZN,223.68,223.84,100.0,119.0,223.76,2.2344870734936073e-05,0.0,-2.234537003930753e-05,-2.234537003930753e-05
2024-01-01 10:28:19,AMZN,223.68,223.84,100.0,119.0,223.76,0.00013405424728551996,0.0,-2.234537003930753e-05,-2.234537003930753e-05
2024-01-01 10:28:20,AMZN,223.68,223.84,100.0,219.0,223.76,0.00013405424728551996,-2.234537003930753e-05,-2.234537003930753e-05,-2.234537003930753e-05
2024-01-01 10:28:21,AMZN,223.68,223.83,100.0,100.0,223.755,0.0001563966218330881,0.0,0.0,0.0
2024-01-01 10:28:22,AMZN,223.68,223.83,100.0,132.0,223.755,0.0001563966218330881,0.0,0.0,0.0
2024-01-01 10:28:23,AMZN,223.68,223.83,100.0,132.0,223.755,2.2345370039311696e-05,0.0,0.0,0.0
2024-01-01 10:28:24,AMZN,223.68,223.83,100.0,132.0,223.755,2.2345370039311696e-05,0.0,0.0,-6.703760809808209e-05
2024-01-01 10:28:25,AMZN,223.68,223.83,100.0,132.0,223.755,2.2345370039311696e-05,0.0,0.0,-6.703760809808209e-05
2024-01-01 10:28:26,AMZN,223.68,223.83,100.0,132.0,223.755,0.0,0.0,-6.703760809808209e-05,-6.703760809808209e-05
2024-01-01 10:28:27,AMZN,223.68,223.83,100.0,132.0,223.755,0.0,0.0,-6.703760809808209e-05,-6.703760809808209e-05
2024-01-01 10:28:28,AMZN,223.68,223.83,100.0,132.0,223.755,-1.7375590770085658e-05,-6.703760809808209e-05,-6.703760809808209e-05,-6.703760809808209e-05
2024-01-01 10:28:29,AMZN,223.65,223.83,319.0,113.0,223.74,4.966201732803377e-05,0.0,0.0,0.00017877893984085116
2024-01-01 10:28:30,AMZN,223.65,223.83,419.0,132.0,223.74,4.966201732803377e-05,0.0,0.0,0.00017877893984085116
2024-01-01 10:28:31,AMZN,223.65,223.83,419.0,132.0,223.74,4.966201732803377e-05,0.0,0.00017877893984085116,0.00017877893984085116
2024-01-01 10:28:32,AMZN,223.65,223.83,419.0,132.0,223.74,4.966201732803377e-05,0.0,0.00017877893984085116,0.00017877893984085116
2024-01-01 10:28:33,AMZN,223.65,223.83,400.0,132.0,223.74,6.703760809811943e-05,0.00017877893984085116,0.00017877893984085116,0.00017877893984085116
2024-01-01 10:28:34,AMZN,223.75,223.81,100.0,100.0,223.78,-0.00017877893984086235,0.0,0.0,0.0
2024-01-01 10:28:35,AMZN,223.75,223.81,100.0,100.0,223.78,-0.00017877893984086235,0.0,0.0,0.0
2024-01-01 10:28:36,AMZN,223.75,223.81,100.0,100.0,223.78,-0.00017877893984086235,0.0,0.0,-4.4686745911249114e-05
2024-01-01 10:28:37,AMZN,223.75,223.81,100.0,100.0,223.78,-0.0001845711053577818,0.0,0.0,-4.4686745911249114e-05
2024-01-01 10:28:38,AMZN,223.75,223.81,100.0,100.0,223.78,-0.0001845711053577818,0.0,-4.4686745911249114e-05,-4.4686745911249114e-05
2024-01-01 10:28:39,AMZN,223.75,223.81,100.0,100.0,223.78,-5.792165516919449e-06,0.0,-4.4686745911249114e-05,-4.4686745911249114e-05
2024-01-01 10:28:40,AMZN,223.75,223.81,100.0,100.0,223.78,-5.792165516919449e-06,-4.4686745911249114e-05,-4.4686745911249114e-05,-4.4686745911249114e-05
2024-01-01 10:28:41,AMZN,223.75,223.79,100.0,59.0,223.76999999999998,3.889458039437373e-05,0.0,0.0,0.0
2024-01-01 10:28:42,AMZN,223.75,223.79,100.0,59.0,223.76999999999998,-9.43276420778775e-05,0.0,0.0,2.2344371452937726e-05
2024-01-01 10:28:43,AMZN,223.75,223.79,100.0,59.0,223.76999999999998,-9.43276420778775e-05,0.0,0.0,2.2344371452937726e-05
2024-01-01 10:28:44,AMZN,223.75,223.79,100.0,59.0,223.76999999999998,-9.43276420778775e-05,0.0,2.2344371452937726e-05,2.2344371452937726e-05
2024-01-01 10:28:45,AMZN,223.75,223.79,100.0,59.0,223.76999999999998,-9.43276420778775e-05,0.0,2.2344371452937726e-05,2.2344371452937726e-05
2024-01-01 10:28:46,AMZN,223.75,223.79,100.0,59.0,223.76999999999998,-0.00013901438798917068,2.2344371452937726e-05,2.2344371452937726e-05,2.2344371452937726e-05
2024-01-01 10:28:47,AMZN,223.75,223.8,100.0,100.0,223.775,-2.2344371452875933e-05,0.0,0.0,0.0
2024-01-01 10:28:48,AMZN,223.75,223.8,100.0,100.0,223.775,-2.2344371452875933e-05,0.0,0.0,0.0
2024-01-01 10:28:49,AMZN,223.75,223.8,100.0,100.0,223.775,-2.2344371452875933e-05,0.0,0.0,0.0
2024-01-01 10:28:50,AMZN,223.75,223.8,100.0,100.0,223.775,-2.2344371452875933e-05,0.0,0.0,0.0
2024-01-01 10:28:51,AMZN,223.75,223.8,100.0,100.0,223.775,-1.3652347254256014e-05,0.0,0.0,0.0
2024-01-01 10:28:52,AMZN,223.75,223.8,100.0,200.0,223.775,-8.692024198656926e-06,0.0,0.0,0.0
2024-01-01 10:28:53,AMZN,223.75,223.8,100.0,400.0,223.775,-5.794682799042938e-06,0.0,0.0,0.0
2024-01-01 10:28:54,AMZN,223.75,223.8,100.0,400.0,223.775,-5.794682799042938e-06,0.0,0.0,0.0
2024-01-01 10:28:55,AMZN,223.75,223.8,100.0,200.0,223.775,-5.794682799042938e-06,0.0,0.0,0.0
2024-01-01 10:28:56,AMZN,223.75,223.8,100.0,200.0,223.775,-1.4486329251088096e-05,0.0,0.0,0.0
2024-01-01 10:28:57,AMZN,223.75,223.8,100.0,200.0,223.775,2.897416952881334e-06,0.0,0.0,0.0
2024-01-01 10:28:58,AMZN,223.75,223.8,100.0,200.0,223.775,0.00012203307096222045,0.0,0.0,0.0
2024-01-01 10:28:59,AMZN,223.75,223.8,100.0,200.0,223.775,0.00012203307096222045,0.0,0.0,0.0002457825941234651
2024-01-01 10:29:00,AMZN,223.75,223.8,100.0,200.0,223.775,0.00012203307096222045,0.0,0.0,0.00022343872193043434
